#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan_w_uc_FKO01_S1	metaphlan_w_uc_FKO03_S2	metaphlan_w_uc_FKO04_S3	metaphlan_w_uc_FKO05_S4	metaphlan_w_uc_FKO06_S5	metaphlan_w_uc_FKO07_S6	metaphlan_w_uc_FKO08_S7	metaphlan_w_uc_FKO09_S8	metaphlan_w_uc_FWT01_S10	metaphlan_w_uc_FWT02_S11	metaphlan_w_uc_FWT03_S12	metaphlan_w_uc_FWT04_S13	metaphlan_w_uc_FWT05_S14	metaphlan_w_uc_FWT06_S15	metaphlan_w_uc_FWT07_S16	metaphlan_w_uc_FWT10_S19	metaphlan_w_uc_FYEX-2_S52	metaphlan_w_uc_FYEX-4_S54	metaphlan_w_uc_FYEX-5_S55	metaphlan_w_uc_FYKO-5_S44	metaphlan_w_uc_FYWT-1_S59	metaphlan_w_uc_FYWT-3_S60	metaphlan_w_uc_MKO01_S20	metaphlan_w_uc_MKO02_S21	metaphlan_w_uc_MKO03_S22	metaphlan_w_uc_MKO04_S23	metaphlan_w_uc_MKO05_S24	metaphlan_w_uc_MKO06_S25	metaphlan_w_uc_MKO07_S26	metaphlan_w_uc_MKO08_S27	metaphlan_w_uc_MKO09_S28	metaphlan_w_uc_MKO10_S29	metaphlan_w_uc_MWT01_S30	metaphlan_w_uc_MWT03_S32	metaphlan_w_uc_MWT05_S33	metaphlan_w_uc_MWT07_S35	metaphlan_w_uc_MWT08_S36	metaphlan_w_uc_MYEX-10_S84	metaphlan_w_uc_MYEX-11_S85	metaphlan_w_uc_MYEX-1_S76	metaphlan_w_uc_MYEX-2_S77	metaphlan_w_uc_MYEX-5_S79	metaphlan_w_uc_MYEX-6_S80	metaphlan_w_uc_MYEX-7_S81	metaphlan_w_uc_MYEX-8_S82	metaphlan_w_uc_MYKO-2_S67	metaphlan_w_uc_MYKO-4_S69	metaphlan_w_uc_MYKO-5_S70	metaphlan_w_uc_MYKO-6_S71	metaphlan_w_uc_MYKO-7_S72	metaphlan_w_uc_MYKO-9_S74	metaphlan_w_uc_MYWT-3_S88	metaphlan_w_uc_MYWT-6_S91
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.23313	0.05658	0.0	1.09834	0.97507	0.0	0.0	0.1009	1.18275	0.0	0.63855	0.18413	0.3686	2.0006	0.06955	0.63021	0.87771	0.90992	0.0	2.49883	1.48293	2.18154	0.0	0.0	0.0	0.0	0.15397	0.37005	0.0	0.08896	0.0	0.0	0.00971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24543	0.0234	0.0	0.0	0.0	0.0	0.55588	0.0	0.02354	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	64.22804	64.44957	66.7898	67.28247	42.38483	62.90867	69.2545	66.01019	39.12684	53.12521	64.97394	51.03061	66.91893	50.2492	42.00125	52.4802	34.94475	47.40133	51.57518	43.69381	62.88169	55.18845	57.62002	66.00428	57.43459	49.66008	56.07978	54.92713	44.90905	54.99846	43.96607	8.51412	6.67972	32.93798	13.07112	2.26242	34.76897	63.96155	48.27695	67.94202	49.44258	58.3453	43.83657	54.74187	61.96479	33.9693	32.84464	59.50398	58.45145	53.24332	64.02508	62.13464	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.7955	1.60573	0.08272	0.12574	5.58484	4.43331	3.5732	0.38432	4.7409	8.96315	0.94025	2.77706	0.19638	2.39037	33.55745	13.15213	9.35348	5.90893	20.63457	27.6241	0.30769	4.34951	6.60231	1.02365	5.92264	18.60057	10.46517	4.66096	5.14816	11.70698	5.61386	0.46785	70.79588	39.54065	68.88274	77.85429	38.97495	0.98039	1.78092	1.25111	0.0	0.75802	0.7998	2.95372	3.57699	2.9506	1.97938	1.40202	2.27608	2.0045	0.0	0.30775	3.53205
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.39589	1.24062	0.022	0.0	24.63329	0.51071	3.93677	0.01052	23.21317	10.50514	1.63367	12.84378	0.07037	19.44825	0.02117	1.6472	0.0	0.0	0.0	0.0	0.0	0.0	1.78956	1.01593	6.76037	1.05309	3.02273	10.57241	27.52208	0.39363	28.73929	1.31259	4.00508	3.63211	0.34499	0.0	2.67799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38707	0.0	0.0	0.0	0.0	0.0	2.38341
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.23313	0.05658	0.0	1.09834	0.97507	0.0	0.0	0.1009	1.18275	0.0	0.63855	0.18413	0.3686	2.0006	0.06955	0.63021	0.0	0.0	0.0	2.49883	1.48293	0.0	0.0	0.0	0.0	0.0	0.15397	0.37005	0.0	0.08896	0.0	0.0	0.00971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0234	0.0	0.0	0.0	0.0	0.01033	0.0	0.02354	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	0.00432	0.00674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00462	0.0	0.0	0.0	0.39028	0.26714	0.67185	0.68657	2.71052	2.88183	0.0	0.00917	0.00975	0.0	0.0	0.0	0.14406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2146	0.0	0.0	0.20581	0.2066	0.00213	0.0	0.07476	0.0	0.99974	0.29305	0.0471	0.0	0.0	0.00356	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	64.22804	64.44957	66.7898	67.28247	42.38483	62.90867	69.2545	66.01019	39.12684	53.12521	64.97394	51.03061	66.91893	50.2492	42.00125	52.4802	34.94475	47.40133	51.57518	43.69381	62.88169	55.18845	57.62002	66.00428	57.43459	49.66008	56.07978	54.92713	44.90905	54.99846	43.96607	8.51412	6.67972	32.93798	13.07112	2.26242	34.76897	63.96155	48.27695	67.94202	49.44258	58.3453	43.83657	54.74187	61.96479	33.9693	32.84464	59.50398	58.45145	53.24332	64.02508	62.13464	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus	0.7955	1.597	0.08272	0.12574	5.58484	4.43331	3.5732	0.38432	4.7409	8.96315	0.94025	2.77706	0.19638	2.39037	33.5533	13.03996	9.35348	5.90893	20.63457	27.6241	0.30769	4.34951	6.60231	1.02365	5.92264	18.60057	10.46517	4.66096	5.14816	11.70698	5.61386	0.0	70.79588	39.54065	68.88274	77.85429	38.97495	0.98039	1.78092	1.25111	0.0	0.75802	0.7998	2.95372	3.57699	2.9506	1.97938	1.40202	2.27608	2.0045	0.0	0.30775	3.53205
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.39589	1.24062	0.022	0.0	24.6212	0.51071	3.91974	0.01052	23.21317	10.50514	1.63367	12.84378	0.07037	19.35709	0.02117	1.6472	0.0	0.0	0.0	0.0	0.0	0.0	1.78956	1.01593	6.76037	1.05309	3.02273	10.57241	27.52208	0.39363	28.73929	1.31259	4.00508	3.63211	0.34499	0.0	2.67799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38707	0.0	0.0	0.0	0.0	0.0	2.38341
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	0.23313	0.05658	0.0	1.09834	0.97507	0.0	0.0	0.1009	1.18275	0.0	0.63855	0.18413	0.3686	2.0006	0.06955	0.63021	0.0	0.0	0.0	2.49883	1.48293	0.0	0.0	0.0	0.0	0.0	0.15397	0.37005	0.0	0.08896	0.0	0.0	0.00971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0234	0.0	0.0	0.0	0.0	0.01033	0.0	0.02354	0.0	0.0	0.0	0.0
