#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan_w_uc_FKO01_S1	metaphlan_w_uc_FKO03_S2	metaphlan_w_uc_FKO04_S3	metaphlan_w_uc_FKO05_S4	metaphlan_w_uc_FKO06_S5	metaphlan_w_uc_FKO07_S6	metaphlan_w_uc_FKO08_S7	metaphlan_w_uc_FKO09_S8	metaphlan_w_uc_FWT01_S10	metaphlan_w_uc_FWT02_S11	metaphlan_w_uc_FWT03_S12	metaphlan_w_uc_FWT04_S13	metaphlan_w_uc_FWT05_S14	metaphlan_w_uc_FWT06_S15	metaphlan_w_uc_FWT07_S16	metaphlan_w_uc_FWT10_S19	metaphlan_w_uc_FYEX-2_S52	metaphlan_w_uc_FYEX-4_S54	metaphlan_w_uc_FYEX-5_S55	metaphlan_w_uc_FYKO-5_S44	metaphlan_w_uc_FYWT-1_S59	metaphlan_w_uc_FYWT-3_S60	metaphlan_w_uc_MKO01_S20	metaphlan_w_uc_MKO02_S21	metaphlan_w_uc_MKO03_S22	metaphlan_w_uc_MKO04_S23	metaphlan_w_uc_MKO05_S24	metaphlan_w_uc_MKO06_S25	metaphlan_w_uc_MKO07_S26	metaphlan_w_uc_MKO08_S27	metaphlan_w_uc_MKO09_S28	metaphlan_w_uc_MKO10_S29	metaphlan_w_uc_MWT01_S30	metaphlan_w_uc_MWT03_S32	metaphlan_w_uc_MWT05_S33	metaphlan_w_uc_MWT07_S35	metaphlan_w_uc_MWT08_S36	metaphlan_w_uc_MYEX-10_S84	metaphlan_w_uc_MYEX-11_S85	metaphlan_w_uc_MYEX-1_S76	metaphlan_w_uc_MYEX-2_S77	metaphlan_w_uc_MYEX-5_S79	metaphlan_w_uc_MYEX-6_S80	metaphlan_w_uc_MYEX-7_S81	metaphlan_w_uc_MYEX-8_S82	metaphlan_w_uc_MYKO-2_S67	metaphlan_w_uc_MYKO-4_S69	metaphlan_w_uc_MYKO-5_S70	metaphlan_w_uc_MYKO-6_S71	metaphlan_w_uc_MYKO-7_S72	metaphlan_w_uc_MYKO-9_S74	metaphlan_w_uc_MYWT-3_S88	metaphlan_w_uc_MYWT-6_S91
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB7847	0.39589	1.24062	0.022	0.0	24.6212	0.51071	3.91974	0.01052	23.21317	10.50514	1.63367	12.84378	0.07037	1.00359	0.02117	1.6472	0.0	0.0	0.0	0.0	0.0	0.0	0.16671	0.0	0.00428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63211	0.06857	0.0	0.72024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38707	0.0	0.0	0.0	0.0	0.0	2.38341
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	0.23313	0.05658	0.0	1.09834	0.97507	0.0	0.0	0.1009	1.18275	0.0	0.63855	0.18413	0.3686	2.0006	0.06955	0.63021	0.0	0.0	0.0	2.49883	1.48293	0.0	0.0	0.0	0.0	0.0	0.15397	0.37005	0.0	0.08896	0.0	0.0	0.00971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0234	0.0	0.0	0.0	0.0	0.01033	0.0	0.02354	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_mastitidis|t__SGB17079	0.00432	0.00674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00462	0.0	0.0	0.0	0.39028	0.26714	0.67185	0.68657	2.71052	2.88183	0.0	0.00917	0.00975	0.0	0.0	0.0	0.14406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2146	0.0	0.0	0.20581	0.2066	0.00213	0.0	0.07476	0.0	0.99974	0.29305	0.0471	0.0	0.0	0.00356	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0	0.01626	0.0	0.0	0.0	0.07614	0.0	0.0	0.04081	0.04084	0.0	0.0	0.05742	0.0	0.01423	0.0	0.0	0.0	0.09843	0.87738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07046	0.0	0.0	0.0	0.07964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93267	0.67724	0.0	0.17719	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0	0.01626	0.0	0.0	0.0	0.07614	0.0	0.0	0.04081	0.04084	0.0	0.0	0.05742	0.0	0.01423	0.0	0.0	0.0	0.09843	0.87738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07046	0.0	0.0	0.0	0.07964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93267	0.67724	0.0	0.17719	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.0	0.01626	0.0	0.0	0.0	0.07614	0.0	0.0	0.04081	0.0	0.0	0.0	0.05742	0.0	0.01423	0.0	0.0	0.0	0.09843	0.87738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07046	0.0	0.0	0.0	0.07964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93267	0.67724	0.0	0.17719	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_unclassified	0.0	0.01626	0.0	0.0	0.0	0.07614	0.0	0.0	0.04081	0.0	0.0	0.0	0.05742	0.0	0.0	0.0	0.0	0.0	0.09843	0.87738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93267	0.67724	0.0	0.17719	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.0	0.00873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00414	0.0236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_unclassified|s__Erysipelotrichaceae_bacterium	0.0	0.01626	0.0	0.0	0.0	0.07614	0.0	0.0	0.04081	0.0	0.0	0.0	0.05742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_intestinalis	0.0	0.00873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00414	0.0236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_unclassified|s__Erysipelotrichaceae_bacterium|t__SGB29002	0.0	0.01626	0.0	0.0	0.0	0.07614	0.0	0.0	0.04081	0.0	0.0	0.0	0.05742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_intestinalis|t__SGB7055	0.0	0.00873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00414	0.0236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.0	0.0	0.0	0.53738	0.63239	0.00118	0.10935	0.00943	6.41208	0.0	0.55091	4.22214	0.01213	2.75795	0.22019	7.47547	36.25225	23.44458	0.0	1.25743	4.8909	10.09876	0.0	0.0	0.0	0.0101	0.10685	0.05019	0.25525	4.19183	0.19307	0.11481	5.4026	0.16945	0.42713	0.0	0.0	5.00124	18.45009	0.05992	27.40264	8.82746	29.27715	1.88081	0.0	37.77715	45.93196	5.77375	10.1348	9.42993	0.6972	2.28873	91.05787
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.0	0.0	0.0	0.53738	0.63239	0.00118	0.10935	0.00943	6.41208	0.0	0.55091	4.22214	0.01213	2.75795	0.22019	7.47547	36.25225	23.44458	0.0	1.25743	4.8909	10.09876	0.0	0.0	0.0	0.0101	0.10685	0.05019	0.25525	4.19183	0.19307	0.11481	5.4026	0.16945	0.42713	0.0	0.0	5.00124	18.45009	0.05992	27.40264	8.82746	29.27715	1.88081	0.0	37.77715	45.93196	5.77375	10.1348	9.42993	0.6972	2.28873	91.05787
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_azizii	0.0	0.0	0.0	1.18635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.23363	0.0	0.0	0.0	0.0	0.0	0.0	0.90512	0.1055	1.91242	1.01004	4.60132	1.11484	0.72378	9.83521	0.8629	0.0	0.48258	0.0	0.18661	0.16648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	0.0	0.0	0.0	0.53738	0.63239	0.00118	0.10935	0.00943	6.41208	0.0	0.55091	4.22214	0.01213	2.75795	0.22019	7.47547	36.25225	23.44458	0.0	1.25743	4.8909	10.09876	0.0	0.0	0.0	0.0101	0.10685	0.05019	0.25525	4.19183	0.19307	0.11481	5.4026	0.16945	0.42713	0.0	0.0	5.00124	18.45009	0.05992	27.40264	8.82746	29.27715	1.88081	0.0	37.77715	45.93196	5.77375	10.1348	9.42993	0.6972	2.28873	91.05787
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_azizii|t__SGB8210	0.0	0.0	0.0	1.18635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.23363	0.0	0.0	0.0	0.0	0.0	0.0	0.90512	0.1055	1.91242	1.01004	4.60132	1.11484	0.72378	9.83521	0.8629	0.0	0.48258	0.0	0.18661	0.16648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962	0.0	0.0	0.0	0.53738	0.63239	0.00118	0.10935	0.00943	6.41208	0.0	0.55091	4.22214	0.01213	2.75795	0.22019	7.47547	36.25225	23.44458	0.0	1.25743	4.8909	10.09876	0.0	0.0	0.0	0.0101	0.10685	0.05019	0.25525	4.19183	0.19307	0.11481	5.4026	0.16945	0.42713	0.0	0.0	5.00124	18.45009	0.05992	27.40264	8.82746	29.27715	1.88081	0.0	37.77715	45.93196	5.77375	10.1348	9.42993	0.6972	2.28873	91.05787
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus	0.0	0.0	0.0	0.0	0.01209	0.0	0.01703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_halotolerans	0.0	0.0	0.0	0.0	0.01209	0.0	0.01703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus|s__Jeotgalicoccus_halotolerans|t__SGB24956	0.0	0.0	0.0	0.0	0.01209	0.0	0.01703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia	0.0	0.0	0.0	0.0	0.0	0.04954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_halotolerans	0.0	0.0	0.0	0.0	0.0	0.04954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_halotolerans|t__SGB35109	0.0	0.0	0.0	0.0	0.0	0.04954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10113	0.0	0.0	0.00706	0.0	0.08275	0.00453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06563	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10113	0.0	0.0	0.00706	0.0	0.08275	0.00453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10113	0.0	0.0	0.00706	0.0	0.08275	0.00453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10113	0.0	0.0	0.00706	0.0	0.08275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__SGB1861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06775	0.0	0.0	0.0	0.0	0.0	0.28463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12934	0.0	0.08631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06775	0.0	0.0	0.0	0.0	0.0	0.28463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12934	0.0	0.08631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06775	0.0	0.0	0.0	0.0	0.0	0.28463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12934	0.0	0.08631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074|f__FGB76074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06775	0.0	0.0	0.0	0.0	0.0	0.28463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12934	0.0	0.08631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074|f__FGB76074|g__GGB28949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_MD308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06775	0.0	0.0	0.0	0.0	0.0	0.24037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter|s__Turicibacter_sp_TS3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074|f__FGB76074|g__GGB28949|s__GGB28949_SGB41655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_MD308|t__SGB41427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06775	0.0	0.0	0.0	0.0	0.0	0.24037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
